class,path,distance,scip_nodes,ml_nodes,degradation,scip_lps,ml_lps,scip_time,ml_time,scip_walltime,ml_walltime,scip_status,ml_status,scip_gap,ml_gap
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_035.lp,0.00251,131,180,1.3740458015267176,348,408,4.01,4.04,4.262522750010248,3.7176190830068663,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_036.lp,0.0023699999999999997,9,51,5.666666666666667,90,171,1.29,1.11,1.3552293340035249,1.0569114579993766,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_037.lp,0.0029100000000000003,720,623,0.8652777777777778,1045,1018,5.39,9.44,5.7324858749925625,9.28749395799241,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_038.lp,0.0023699999999999997,53,109,2.056603773584906,216,302,2.65,2.32,2.8085251250013243,2.0880382920149714,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_039.lp,0.0023699999999999997,153,344,2.2483660130718954,397,644,4.42,5.8,4.776292542024748,5.610989833978238,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_040.lp,0.0029100000000000003,179,241,1.3463687150837989,388,473,3.65,4.25,3.9729862500098534,4.482614457985619,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_041.lp,0.0035499999999999998,49,143,2.9183673469387754,232,330,3.35,3.26,3.5757134999730624,3.147304084006464,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_042.lp,0.0029100000000000003,673,661,0.9821693907875185,1030,1122,5.66,9.29,6.153956249996554,8.884476125007495,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_043.lp,0.00251,25,121,4.84,141,289,2.56,2.49,2.9136376669921447,2.347106083005201,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_044.lp,0.0029100000000000003,43,119,2.7674418604651163,234,318,3.95,3.23,4.265791417012224,3.2977163750038017,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_045.lp,0.00885,13,77,5.923076923076923,106,206,1.95,1.58,2.0515722499985714,1.6501941249880474,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_046.lp,0.0029100000000000003,11,51,4.636363636363637,109,176,1.94,1.62,2.062156166997738,1.6414863750105724,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_047.lp,0.0029100000000000003,105,253,2.4095238095238094,301,472,3.85,4.6,4.085722082993016,4.075238249992253,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_048.lp,0.0029100000000000003,589,575,0.9762308998302207,932,909,5.45,8.83,5.82407349999994,7.52823045902187,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_049.lp,0.00251,5,41,8.2,102,201,1.42,1.27,1.5022191669850145,1.306954792002216,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_050.lp,0.006170000000000001,83,327,3.9397590361445785,301,574,3.46,4.89,3.6425379579886794,5.055551124998601,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_051.lp,0.0029100000000000003,49,137,2.795918367346939,234,386,2.74,2.7,2.8880246250191703,2.813701624982059,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_052.lp,0.0029100000000000003,5,21,4.2,72,84,0.88,0.75,0.9765215000079479,0.7482552500150632,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_053.lp,0.00423,19,73,3.8421052631578947,121,176,1.68,1.57,1.7672916669980623,1.6597327920026146,optimal,optimal,0.0,0.0
